index	headword	pos	definition	notes:bookkeeping	Transcription:Armenian	Transcription	UR	Declension class	Verb Regularity	Regular category	Subclass	Class number
23958	ծաղկավաճառ	noun	Florist, flower seller, flower-dealer.		ծաղկավաճառ	d͡z ɑ ʁ ɡ ɑ v ɑ d͡ʒ ɑ́ ɾ	Rծաղիկ-ա+Rվաճառ	Regular?				
23959	ծաղկավաճառանոց	noun	Flower-shop, flower-market.		ծաղկավաճառանոց	d͡z ɑ ʁ ɡ ɑ v ɑ d͡ʒ ɑ ɾ ɑ n ó t͡s	Rծաղիկ-ա+Rվաճառ-անոց	Regular?				
23960	ծաղկավաճառուհի	noun	Flower-woman.		ծաղկավաճառուհի	d͡z ɑ ʁ ɡ ɑ v ɑ d͡ʒ ɑ ɾ u h í	Rծաղիկ-ա+Rվաճառ-ուհի	Regular?				
23961	ծաղկավուշ	noun	Flowering hemp.		ծաղկավուշ	d͡z ɑ ʁ ɡ ɑ v ú ʃ	Rծաղիկ-ա+Rվուշ	Regular?				
23962	ծաղկատի	adjective	Young, youthful.		ծաղկատի	d͡z ɑ ʁ ɡ ɑ d í	Rծաղիկ-ատի	Adjective				
23963	ծաղկատունկ	noun	Anthophyta.		ծաղկատունկ	d͡z ɑ ʁ ɡ ɑ d ú ŋ ɡ	Rծաղիկ-ա+Rտունկ	Regular?				
23964	ծաղկարգել	adjective	Antivariolous.		ծաղկարգել	d͡z ɑ ʁ ɡ ɑ ɾ k é l	Rծաղիկ+Rարգել	Adjective				
23965	ծաղկարկղ	noun	Flower-stand.		ծաղկարկըղ	d͡z ɑ ʁ ɡ ɑ́ ɾ ɡ ə ʁ	Rծաղիկ+Rարկղ	Regular?				
23966	ծաղկացուցակ	noun	Flora.		ծաղկացուցակ	d͡z ɑ ʁ ɡ ɑ t͡s u t͡s ɑ́ ɡ	Rծաղիկ-ա+Rցույց-ակ	Regular?				
23967	ծաղկացօղուն	noun	Flower stalk.		ծաղկացօղուն	d͡z ɑ ʁ ɡ ɑ t͡s o ʁ ú n	Rծաղիկ-ա+Rցօղ-ուն	Regular?				
23968	ծաղկաւէտ	adjective	Flowery, florid, rubicund.		ծաղկավէտ	d͡z ɑ ʁ ɡ ɑ v é d	Rծաղիկ-ավէտ	Adjective				
23969	ծաղկաւէտութիւն	noun	Floridity, floweriness, full bloom.		ծաղկավէտութիւն	d͡z ɑ ʁ ɡ ɑ v e d u t ʏ́ n	Rծաղիկ-ավէտ-ութիւն	Suffix utjun				
23970	ծաղկափթիթ	adjective	Florescent; blooming.		ծաղկափըթիթ	d͡z ɑ ʁ ɡ ɑ p ə t í t	Rծաղիկ-ա+Rփթիթ	Regular?				
23971	ծաղկափթիթ	noun	(bot.) Lily grass.		ծաղկափըթիթ	d͡z ɑ ʁ ɡ ɑ p ə t í t	Rծաղիկ-ա+Rփթիթ	Adjective				
23972	ծաղկաքաղ	noun, adjective	Compilation, delectus, excerptor; chrestomathy, summary, anthology.		ծաղկաքաղ	d͡z ɑ ʁ ɡ ɑ k ɑ́ ʁ	Rծաղիկ-ա+Rքաղ	Multi-POS				
23973	ծաղկաքաղ	noun	Anthologist.		ծաղկաքաղ	d͡z ɑ ʁ ɡ ɑ k ɑ́ ʁ	Rծաղիկ-ա+Rքաղ	Regular?				
23974	ծաղկաքաղային	adjective	Anthological.		ծաղկաքաղային	d͡z ɑ ʁ ɡ ɑ k ɑ ʁ ɑ j í n	Rծաղիկ-ա+Rքաղ-ային	Adjective				
23975	ծաղկաքաղութիւն	noun	Florilege.		ծաղկաքաղութիւն	d͡z ɑ ʁ ɡ ɑ k ɑ ʁ u t ʏ́ n	Rծաղիկ-ա+Rքաղ-ութիւն	Suffix utjun				
23976	ծաղկաքար	noun	Antholite.		ծաղկաքար	d͡z ɑ ʁ ɡ ɑ k ɑ́ ɾ	Rծաղիկ-ա+Rքար	Regular?				
23977	ծաղկաքթան	adjective	Flowering flax.		ծաղկաքըթան	d͡z ɑ ʁ ɡ ɑ k ə t ɑ́ n	Rծաղիկ-ա+Rքթան	Adjective				
23978	ծաղկեալ	adjective	Flourished, prosperous, flourishing.		ծաղկյալ	d͡z ɑ ʁ ɡ j ɑ́ l	Rծաղիկ-յալ	Adjective				
23979	ծաղկեայ	adjective	Of flowers, floral, flowered: figured.		ծաղկյա	d͡z ɑ ʁ ɡ j ɑ́	Rծաղիկ-յա	Adjective				
23980	ծաղկեզր	noun	Floroon.		ծաղկեզըր	d͡z ɑ ʁ ɡ é z ə ɾ	Rծաղիկ+Rեզր	Regular?				
23981	ծաղկել	verb neutre, verb active	To flower, to blossom, to prosper, to flourish.		ծաղկել	d͡z ɑ ʁ ɡ é l	Rծաղիկ-ե-լ		Regular	E-Class		2
23982	ծաղկեղէն	adjective	Of flowers, floral, flowered: figured.		ծաղկեղէն	d͡z ɑ ʁ ɡ e ʁ é n	Rծաղիկ-եղէն	Adjective				
23983	ծաղկեպսակ	noun	Crown of flowers, garland, wreath of flowers.		ծաղկեպըսակ	d͡z ɑ ʁ ɡ e b ə s ɑ́ ɡ	Rծաղիկ-ե+Rպսակ	Regular?				
23984	ծաղկեցնել	verb active	To blossom, to cause to flourish.		ծաղկեցընել	d͡z ɑ ʁ ɡ e t͡s ə n é l	Rծաղիկ-ե-ցն-ե-լ		Regular	Causative	Basic	10
23985	ծաղկեփունջ	noun	A bunch of flowers, bouquet.		ծաղկեփունջ	d͡z ɑ ʁ ɡ e p ú n t͡ʃ	Rծաղիկ-ե+Rփունջ	Regular?				
23986	ծաղկընկէց	adjective	Withered, faded.		ծաղկընկէց	d͡z ɑ ʁ ɡ ə ŋ ɡ é t͡s	Rծաղիկ+Rընկ-էց	Adjective				
23987	ծաղկիլ	verb neutre	To flower, to bloom, to blossom.		ծաղկիլ	d͡z ɑ ʁ ɡ í l	Rծաղիկ-ի-լ		Regular	I-Class	Basic	4
23988	ծաղկիկ	noun	Floweret, floret.		ծաղկիկ	d͡z ɑ ʁ ɡ í ɡ	Rծաղիկ-իկ	Regular?				
23989	ծաղկոզրի	noun	(bot.) Fire-weed.		ծաղկոզրի	d͡z ɑ ʁ ɡ o z ɾ í	Rծաղիկ+Rոզրի	Regular?				
23990	ծաղկոլոռն	noun	Sweet-pea.		ծաղկոլոռն	d͡z ɑ ʁ ɡ o l ó ɾ n	Rծաղիկ+Rոլոռն	Regular?				
23991	ծաղկողկոյզ	noun	(bot.) Corymb, cluster.		ծաղկողկույզ	d͡z ɑ ʁ ɡ o ʁ ɡ ú j z	Rծաղիկ+Rողկույզ	Regular?				
23992	ծաղկողութիւն	noun	Efflorescence.		ծաղկողութիւն	d͡z ɑ ʁ ɡ o ʁ u t ʏ́ n	Rծաղիկ-ող-ութիւն	Suffix utjun				
23993	ծաղկոտ	adjective	Florulent; pocky.		ծաղկոտ	d͡z ɑ ʁ ɡ ó d	Rծաղիկ-ոտ	Adjective				
23994	ծաղկոց	noun	Primary school, flower-garden,		ծաղկոց	d͡z ɑ ʁ ɡ ó t͡s	Rծաղիկ-ոց	Regular?				
23995	ծաղկու	adjective	Droll, facetious, comic, clown, joker.		ծաղկու	d͡z ɑ ʁ ɡ ú	Rծաղիկ-ու	Adjective				
23996	ծաղկութիւն	noun	Flowerage.		ծաղկութիւն	d͡z ɑ ʁ ɡ u t ʏ́ n	Rծաղիկ-ութիւն	Suffix utjun				
23997	ծաղկում	noun	Flowering. (bot.) anthesis; inflorescence.		ծաղկում	d͡z ɑ ʁ ɡ ú m	Rծաղիկ-ում	Potential -um suffix				
23998	ծաղկուտ	adjective	Flowery, florid, florulent.		ծաղկուտ	d͡z ɑ ʁ ɡ ú d	Rծաղիկ-ուտ	Adjective				
23999	ծաղկօրէն	adverb	Florally.		ծա՛ղկօրէն	d͡z ɑ́ ʁ ɡ o ɾ e n	Rծաղիկ-օրէն	Adverb				
24000	ծաղր	noun	Mocking, derision, ridicule, banter; sneer.		ծաղըր	d͡z ɑ́ ʁ ə ɾ	Rծաղր	Regular?				
24001	ծաղրաբան	adjective	Facetious, witty, jocose, humorous, funny, waggish, jocular.		ծաղրաբան	d͡z ɑ ʁ ɾ ɑ p ɑ́ n	Rծաղր-ա+Rբան	Adjective				
24002	ծաղրաբանել	verb neutre	To jest, to joke at, to banter.		ծաղրաբանել	d͡z ɑ ʁ ɾ ɑ p ɑ n é l	Rծաղր-ա+Rբան-ե-լ		Regular	E-Class		2
24003	ծաղրաբանութիւն	noun	Mockery, joke, jocosity, pleasantry.		ծաղրաբանութիւն	d͡z ɑ ʁ ɾ ɑ p ɑ n u t ʏ́ n	Rծաղր-ա+Rբան-ութիւն	Suffix utjun				
24004	ծաղրազգեստ	noun	Garb, dress, as an object of ridicule.		ծաղրազգեստ	d͡z ɑ ʁ ɾ ɑ s k é s t	Rծաղր-ա+Rզգեստ	Regular?				
24005	ծաղրաթերթ	noun	Rough music; mock serenade, hubbub, clatter.		ծաղրաթերթ	d͡z ɑ ʁ ɾ ɑ t é ɾ t	Rծաղր-ա+Rթերթ	Regular?				
24006	ծաղրալից	adjective	Funny, laughable, ridiculous, deriding.		ծաղրալից	d͡z ɑ ʁ ɾ ɑ l í t͡s	Rծաղր-ա+Rլից	Adjective				
24007	ծաղրախառն	adjective	Smiling, cheering, pleasing.		ծաղրախառըն	d͡z ɑ ʁ ɾ ɑ χ ɑ́ ɾ ə n	Rծաղր-ա+Rխառն	Adjective				
24008	ծաղրածու	noun, adjective	Droll, facetious, burlesque, comic, clown, joker, jester, banter.		ծաղրածու	d͡z ɑ ʁ ɾ ɑ d͡z ú	Rծաղր+Rած-ու	Multi-POS				
24009	ծաղրածութիւն	noun	Facetiousness, buffoonery, mocking.		ծաղրածութիւն	d͡z ɑ ʁ ɾ ɑ d͡z u t ʏ́ n	Rծաղր+Rած-ութիւն	Suffix utjun				
24010	ծաղրական	adjective	Derisory, ridiculous, risible, funny, comical, laughable, ludicrous, burlesque.		ծաղրական	d͡z ɑ ʁ ɾ ɑ ɡ ɑ́ n	Rծաղր-ական	Adjective				
24011	ծաղրականութիւն	noun	Ridiculousness.		ծաղրականութիւն	d͡z ɑ ʁ ɾ ɑ ɡ ɑ n u t ʏ́ n	Rծաղր-ական-ութիւն	Suffix utjun				
24012	ծաղրակատակ	noun, adjective	Droll, facetious, comic, clown.		ծաղրակատակ	d͡z ɑ ʁ ɾ ɑ ɡ ɑ d ɑ́ ɡ	Rծաղր-ա+Rկատակ	Multi-POS				
24013	ծաղրանկար	noun	Caricature.		ծաղրանըկար	d͡z ɑ ʁ ɾ ɑ n ə ɡ ɑ́ ɾ	Rծաղր-ա+Rնկար	Regular?				
24014	ծաղրանկարիչ	noun	Caricaturist.		ծաղրանըկարիչ	d͡z ɑ ʁ ɾ ɑ n ə ɡ ɑ ɾ í t͡ʃ	Rծաղր-ա+Rնկար-իչ	Regular?				
24015	ծաղրանք	noun	Derision, mockery, sarcasm.		ծաղրանք	d͡z ɑ ʁ ɾ ɑ́ ŋ k	Rծաղր-անք	regular?				
24016	ծաղրաշարժ	adjective	Droll, comic.		ծաղրաշարժ	d͡z ɑ ʁ ɾ ɑ ʃ ɑ́ ɾ ʒ	Rծաղր-ա+Rշարժ	Adjective				
24017	ծաղրապատկեր	noun	Caricature.		ծաղրապատկեր	d͡z ɑ ʁ ɾ ɑ b ɑ d ɡ é ɾ	Rծաղր-ա+Rպատկեր	Regular?				
24018	ծաղրասէր	noun, adjective	Humorous, jocose, witty, waggish, laughter-loving.		ծաղրասէր	d͡z ɑ ʁ ɾ ɑ s é ɾ	Rծաղր-ա+Rսէր	Multi-POS				
24019	ծաղրել	verb active	To jeer, to laugh, to jest, to banter, to deride, to scoff, to baffle.		ծաղրել	d͡z ɑ ʁ ɾ é l	Rծաղր-ե-լ		Regular	E-Class		2
24020	ծաղրելի	adjective	Droll, burlesque, ridiculous.		ծաղրելի	d͡z ɑ ʁ ɾ e l í	Rծաղր-ե-լ-ի	Adjective				
24021	ծաղրերգութիւն	noun	Comic opera.		ծաղրերգութիւն	d͡z ɑ ʁ ɾ e ɾ k u t ʏ́ n	Rծաղր+Rերգ-ութիւն	Suffix utjun				
24022	ծաղրերես	adjective	Merry faced, jocund, laughing.		ծաղրերես	d͡z ɑ ʁ ɾ e ɾ é s	Rծաղր+Rերես	Adjective				
24023	ծաղրիկ	noun	(թռ.) Wall creeper.		ծաղրիկ	d͡z ɑ ʁ ɾ í ɡ	Rծաղր-իկ	Regular?				
24024	ծաղրող	adjective	Mocker, jeerer, mocking, ridiculer.		ծաղրող	d͡z ɑ ʁ ɾ ó ʁ	Rծաղր-ող	Adjective				
24025	ծաղրուծանակ	noun	Scoffed at.		ծաղրուծանակ	d͡z ɑ ʁ ɾ u d͡z ɑ n ɑ́ ɡ	Rծաղր-ու+Rծանակ	Regular?				
24026	ծաղրուկ	noun	(թռ.) Mocking-bird.		ծաղրուկ	d͡z ɑ ʁ ɾ ú ɡ	Rծաղր-ուկ	Regular?				
24027	ծաղք	noun	Cake; pastry.		ծաղք	d͡z ɑ́ χ k	Rծաղ-ք	Regular?				
24028	ծամ	noun	Head of hair; halter (of a horse); hair.		ծամ	d͡z ɑ́ m	Rծամ	Regular?				
24029	ծամածուռ	adjective	Winding, tortuous; sinuous, anfractuous.		ծամածուռ	d͡z ɑ m ɑ d͡z ú ɾ	Rծամ-ա+Rծուռ	Adjective				
24030	ծամածռել	verb active	To distort, to twist, to perplex, to twine.		ծամածըռել	d͡z ɑ m ɑ d͡z ə ɾ é l	Rծամ-ա+Rծուռ-ե-լ		Regular	E-Class		2
24031	ծամածռութիւն	noun	Grimace, tortuosity, crookedness; cynicus; winding.		ծամածըռութիւն	d͡z ɑ m ɑ d͡z ə ɾ u t ʏ́ n	Rծամ-ա+Rծուռ-ութիւն	Suffix utjun				
24032	ծամակ	noun	Plough-spud, plough-scraper.		ծամակ	d͡z ɑ m ɑ́ ɡ	Rծամակ	Regular?				
24033	ծամակալ	noun	Head-band, frontlet, hair-band.		ծամակալ	d͡z ɑ m ɑ ɡ ɑ́ l	Rծամ-ա+Rկալ	Regular?				
24034	ծամաքուղ	noun	Head-band, frontlet, hair-band.		ծամաքուղ	d͡z ɑ m ɑ k ú ʁ	Rծամ-ա+Rքուղ	Regular?				
24035	ծամել	verb active	To masticate, to chew.		ծամել	d͡z ɑ m é l	Rծամ-ե-լ		Regular	E-Class		2
24036	ծամելիք	noun	Jaw-bone, cheek.		ծամելիք	d͡z ɑ m e l í k	Rծամ-ե-լ-իք	Regular?				
24037	ծամենի	noun	(bot.) Jamaica sago tree.		ծամենի	d͡z ɑ m e n í	Rծամ-ենի	Regular?				
24038	ծամծմել	verb active	To chew, to masticate; to mumble, to munch, to craunch.		ծամծըմել	d͡z ɑ m d͡z ə m é l	Rծամ+Rծմ-ե-լ		Regular	E-Class		2
24039	ծամողականութիւն	noun	Mastication.		ծամողականութիւն	d͡z ɑ m o ʁ ɑ ɡ ɑ n u t ʏ́ n	Rծամ-ող-ական-ութիւն	Suffix utjun				
24040	ծամոն	noun	Masticatory: cud, mastic.		ծամոն	d͡z ɑ m ó n	Rծամ-ոն	Regular?				
24041	ծամոնաբեր	noun	(bot.) Mastic tree.		ծամոնաբեր	d͡z ɑ m o n ɑ p é ɾ	Rծամ-ոն-ա+Rբեր	Regular?				
24042	ծամուկ	noun	(bot.) Poppy anemone.		ծամուկ	d͡z ɑ m ú ɡ	Rծամ-ուկ	regular?				
24043	ծայթրին	noun	see Ծոթրին։		ծայթրին	d͡z ɑ j t ɾ í n	Rծայթրին	Regular?				
24044	ծայր	noun	End, extremity, border, edge, head, apex.		ծայր	d͡z ɑ́ j ɾ	Rծայր	Regular?				
24045	ծայրաբահ	noun	Trail-spade.		ծայրաբահ	d͡z ɑ j ɾ ɑ p ɑ́ h	Rծայր-ա+Rբահ	Regular?				
24046	ծայրաբան	noun	Acrologue.		ծայրաբան	d͡z ɑ j ɾ ɑ p ɑ́ n	Rծայր-ա+Rբան	Regular?				
24047	ծայրաբանութիւն	noun	Acrology.		ծայրաբանութիւն	d͡z ɑ j ɾ ɑ p ɑ n u t ʏ́ n	Rծայր-ա+Rբան-ութիւն	Suffix utjun				
24048	ծայրաբշտիկ	noun	(med.) Acrorhagus.		ծայրաբըշտիկ	d͡z ɑ j ɾ ɑ p ə ʃ t í ɡ	Rծայր-ա+Rբուշտ-իկ	Regular?				
24049	ծայրաբոյս	noun	see Ծայրապտուկք։		ծայրաբույս	d͡z ɑ j ɾ ɑ p ú j s	Rծայր-ա+Rբույս	Regular?				
24050	ծայրագիծ	noun	Endline.		ծայրագիծ	d͡z ɑ j ɾ ɑ k í d͡z	Rծայր-ա+Rգիծ	Regular?				
24051	ծայրագոյն	adjective	Supreme, extreme.		ծայրագույն	d͡z ɑ j ɾ ɑ k ú j n	Rծայր-ա+Rգույն	Adjective				
24052	ծայրագունութիւն	noun	see Ծայրութիւն։		ծայրագունութիւն	d͡z ɑ j ɾ ɑ k u n u t ʏ́ n	Rծայր-ա+Rգույն-ութիւն	Suffix utjun				
24053	ծայրադիր	noun	Fly-leaf, addendum; prolongation.		ծայրադիր	d͡z ɑ j ɾ ɑ t í ɾ	Rծայր-ա+Rդիր	Regular?				
24054	ծայրալիր	adjective	Full, overflowing, heaped up, full to the top.		ծայրալիր	d͡z ɑ j ɾ ɑ l í ɾ	Rծայր-ա+Rլիր	Adjective				
24055	ծայրալուսական	adjective	Cosmic.		ծայրալուսական	d͡z ɑ j ɾ ɑ l u s ɑ ɡ ɑ́ n	Rծայր-ա+Rլույս-ական	Adjective				
24056	ծայրախտութիւն	noun	Acropathy.		ծայրախտութիւն	d͡z ɑ j ɾ ɑ χ t u t ʏ́ n	Rծայր+Rախտ-ութիւն	Suffix utjun				
24057	ծայրածաւալ	adjective	Out-spread, dilating everywhere.		ծայրածավալ	d͡z ɑ j ɾ ɑ d͡z ɑ v ɑ́ l	Rծայր-ա+Rծավալ	Adjective				
24058	ծայրակոտոր	adjective	Mutilated; blunted; cut-off.		ծայրակոտոր	d͡z ɑ j ɾ ɑ ɡ o d ó ɾ	Rծայր-ա+Rկոտոր	Adjective				
24059	ծայրակտուր	adjective	Crippled, lame, disabled.		ծայրակըտուր	d͡z ɑ j ɾ ɑ ɡ ə d ú ɾ	Rծայր-ա+Rկտուր	Adjective				
24060	ծայրակտրութիւն	noun	(surg.) Resection.		ծայրակըտրութիւն	d͡z ɑ j ɾ ɑ ɡ ə d ɾ u t ʏ́ n	Rծայր-ա+Rկտր-ութիւն	Suffix utjun				
24061	ծայրակցել	verb active	To join end to end.		ծայրակըցել	d͡z ɑ j ɾ ɑ ɡ ə t͡s é l	Rծայր-ա+Rկից-ե-լ		Regular	E-Class		2
24062	ծայրաձայն	noun	Acrophony.		ծայրաձայն	d͡z ɑ j ɾ ɑ t͡s ɑ́ j n	Rծայր-ա+Rձայն	Regular?				
24063	ծայրամէտ	adjective	Convergent.		ծայրամէտ	d͡z ɑ j ɾ ɑ m é d	Rծայր-ա+Rմէտ	Adjective				
24064	ծայրամիտիլ	verb neutre	To converge.		ծայրամիտիլ	d͡z ɑ j ɾ ɑ m i d í l	Rծայր-ա+Rմէտ-ի-լ		Regular	I-Class	Basic	4
24065	ծայրայանգ	adjective	Refrain, common chorus.		ծայրահանգ	d͡z ɑ j ɾ ɑ h ɑ́ ŋ k	Rծայր-ա+Rհանգ	Adjective				
24066	ծայրայեղ	adjective	Extreme, utmost, terminal, final.		ծայրահեղ	d͡z ɑ j ɾ ɑ h é ʁ	Rծայր-ա+Rհեղ	Adjective				
24067	ծայրայեղական	adjective	Extremist.		ծայրահեղական	d͡z ɑ j ɾ ɑ h e ʁ ɑ ɡ ɑ́ n	Rծայր-ա+Rհեղ-ական	Adjective				
24068	ծայրայեղութիւն	noun	Extremity, end, termination.		ծայրահեղութիւն	d͡z ɑ j ɾ ɑ h e ʁ u t ʏ́ n	Rծայր-ա+Rհեղ-ութիւն	Suffix utjun				
24069	ծայրայեղօրէն	adverb	Excessively.		ծայրահե՛ղօրէն	d͡z ɑ j ɾ ɑ h é ʁ o ɾ e n	Rծայր-ա+Rհեղ-օրէն	Adverb				
24070	ծայրայօդ	noun	Edge-joint.		ծայրահօդ	d͡z ɑ j ɾ ɑ h ó t	Rծայր-ա+Rհօդ	Regular?				
24071	ծայրանալ	verb neutre	To touch at the end, to result, to end.		ծայրանալ	d͡z ɑ j ɾ ɑ n ɑ́ l	Rծայր-ա-ն-ա-լ		Regular	Inchoative		20
24072	ծայրանդամալուծութիւն	noun	Acroparalysis.		ծայրանդամալուծութիւն	d͡z ɑ j ɾ ɑ n t ɑ m ɑ l u d͡z u t ʏ́ n	Rծայր+Rանդամ-ա+Rլույծ-ութիւն	Suffix utjun				
24073	ծայրանուն	noun, adjective	Acrostic.		ծայրանուն	d͡z ɑ j ɾ ɑ n ú n	Rծայր+Rանուն	Multi-POS				
24074	ծայրաչափ	noun	Acrometer.		ծայրաչափ	d͡z ɑ j ɾ ɑ t͡ʃ ɑ́ p	Rծայր-ա+Rչափ	Regular?				
24075	ծայրապանակ	noun	Ferrule, collar.		ծայրապանակ	d͡z ɑ j ɾ ɑ b ɑ n ɑ́ ɡ	Rծայր-ա+Rպանակ	Regular?				
24076	ծայրապտուկք	noun	Leaf-buds.		ծայրապըտուկք	d͡z ɑ j ɾ ɑ b ə d ú k k	Rծայր-ա+Rպտուկ-ք	Regular?				
24077	ծայրասերմիկ	noun	Acrospore.		ծայրասերմիկ	d͡z ɑ j ɾ ɑ s e ɾ m í ɡ	Rծայր-ա+Rսերմ-իկ	Regular?				
24078	ծայրասուր	adjective	Culturated.		ծայրասուր	d͡z ɑ j ɾ ɑ s ú ɾ	Rծայր-ա+Rսուր	Adjective				
24079	ծայրատել	verb active	To mutilate, to maim, to cripple.		ծայրատել	d͡z ɑ j ɾ ɑ d é l	Rծայր-ա+Rտել		Regular	E-Class		2
24080	ծայրատութիւն	noun	Maimedness, mutilation, amputation.		ծայրատութիւն	d͡z ɑ j ɾ ɑ d u t ʏ́ n	Rծայր-ատ-ութիւն	Suffix utjun				
24081	ծայրատում	noun	(gram.) Apocope, suppression of a letter.		ծայրատում	d͡z ɑ j ɾ ɑ d ú m	Rծայր-ատ-ում	Potential -um suffix				
24082	ծայրարձակ	adjective	(bot.) Acrogenous.		ծայրարձակ	d͡z ɑ j ɾ ɑ ɾ t͡s ɑ́ ɡ	Rծայր+Rարձակ	Adjective				
24083	ծայրացեալ	adjective	Advanced, forward, early; utmost, furthest.		ծայրացյալ	d͡z ɑ j ɾ ɑ t͡s j ɑ́ l	Rծայր-ա-ց-յալ	Adjective				
24084	ծայրափայլ	adjective	Radiant.		ծայրափայլ	d͡z ɑ j ɾ ɑ p ɑ́ j l	Rծայր-ա+Rփայլ	Adjective				
24085	ծայրափթիթ	noun	Acrospire.		ծայրափըթիթ	d͡z ɑ j ɾ ɑ p ə t í t	Rծայր-ա+Rփթիթ	Regular?				
24086	ծայրաքաղ	adjective	Mutilated; shortened.		ծայրաքաղ	d͡z ɑ j ɾ ɑ k ɑ́ ʁ	Rծայր-ա+Rքաղ	Adjective				
24087	ծայրաքաղաք	noun	Acropolis; citadel.		ծայրաքաղաք	d͡z ɑ j ɾ ɑ k ɑ ʁ ɑ́ k	Rծայր-ա+Rքաղաք	Regular?				
24088	ծայրաքաղութիւն	noun	Mutilation, amputation.		ծայրաքաղութիւն	d͡z ɑ j ɾ ɑ k ɑ ʁ u t ʏ́ n	Rծայր-ա+Rքաղ-ութիւն	Suffix utjun				
24089	ծայրաքար	noun	Acrolith.		ծայրաքար	d͡z ɑ j ɾ ɑ k ɑ́ ɾ	Rծայր-ա+Rքար	Regular?				
24090	ծայրերգ	noun	(mus.) Finale of a fugue.		ծայրերգ	d͡z ɑ j ɾ é ɾ k	Rծայր+Rերգ	Regular?				
24091	ծայրընձիւղ	noun	(bot.) Acrospire.		ծայրընձիւղ	d͡z ɑ j ɾ ə n t͡s ʏ́ ʁ	Rծայր+Rընձիւղ	Regular?				
24092	ծայրինք	noun	The extremities, first and last terms.		ծայրինք	d͡z ɑ j ɾ í ŋ k	Rծայր-ինք	regular?				
24093	ծայրութիւն	noun	Eminence, excellence, sublimity.		ծայրութիւն	d͡z ɑ j ɾ u t ʏ́ n	Rծայր-ութիւն	Suffix utjun				
24094	ծայրուսային	adjective	Acrominal.		ծայրուսային	d͡z ɑ j ɾ u s ɑ j í n	Rծայր+Rուս-ային	Adjective				
24095	ծայրք	noun	Extremity, end, tip, point.		ծայրք	d͡z ɑ́ j ɾ k	Rծայր-ք	Regular?				
24096	ծանաբանութիւն	noun	(philos.) Gnosiology.		ծանաբանութիւն	d͡z ɑ n ɑ p ɑ n u t ʏ́ n	Rծան-ա+Rբան-ութիւն	Suffix utjun				
24097	ծանակ	noun	(թռ.) Parson bird, mocking-bird.		ծանակ	d͡z ɑ n ɑ́ ɡ	Rծանակ	Adjective				
24098	ծանակ	adjective	Shameful, contemptible, ridiculous.		ծանակ	d͡z ɑ n ɑ́ ɡ	Rծանակ	Regular?				
24099	ծանականք	noun	Shame, ignominy, dishonour.		ծանականք	d͡z ɑ n ɑ ɡ ɑ́ ŋ k	Rծանակ-անք	regular?				
24100	ծանակել	verb active	To dishonour, to bring to shame, to disgrace.		ծանակել	d͡z ɑ n ɑ ɡ é l	Rծանակ-ե-լ		Regular	E-Class		2
24101	ծանծ	noun	Chaff, glume, husk, straw.		ծանծ	d͡z ɑ́ n d͡z	Rծանծ	Regular?				
24102	ծանծակեր	adjective	Glumiferous.		ծանծակեր	d͡z ɑ n d͡z ɑ ɡ é ɾ	Rծանծ-ա+Rկեր	Adjective				
24103	ծանծահունտ	noun	Chaff-seed.		ծանծահունտ	d͡z ɑ n d͡z ɑ h ú n d	Rծանծ-ա+Rհունտ	Regular?				
24104	ծանծաղ	adjective	Shallow, fordable: flat.		ծանծաղ	d͡z ɑ n d͡z ɑ́ ʁ	Rծանծաղ	Adjective				
24105	ծանծաղամիտ	noun, adjective	Giddy; shallow, silly; thoughtless.		ծանծաղամիտ	d͡z ɑ n d͡z ɑ ʁ ɑ m í d	Rծանծաղ-ա+Rմիտ	Multi-POS				
24106	ծանծաղամտութիւն	noun	Vanity, conceit; nimbleness, frivolity.		ծանծաղամըտութիւն	d͡z ɑ n d͡z ɑ ʁ ɑ m ə d u t ʏ́ n	Rծանծաղ-ա+Rմիտ-ութիւն	Suffix utjun				
24107	ծանծաղութիւն	noun	Superficiality, superficialness.		ծանծաղութիւն	d͡z ɑ n d͡z ɑ ʁ u t ʏ́ n	Rծանծաղ-ութիւն	Suffix utjun				
24108	ծանծաղուտ	adjective	(տեղ) Shallow-water.		ծանծաղուտ	d͡z ɑ n d͡z ɑ ʁ ú d	Rծանծաղ-ուտ	Adjective				
24109	ծանծաւոր	adjective	Glumiferous.		ծանծավոր	d͡z ɑ n d͡z ɑ v ó ɾ	Rծանծ-ավոր	Adjective				
24110	ծանծաքել	verb active	To chew with difficulty, to munch.		ծանծաքել	d͡z ɑ n d͡z ɑ k é l	Rծանծաք-ե-լ		Regular	E-Class		2
24111	ծանծիկ	noun	Glume.		ծանծիկ	d͡z ɑ n d͡z í ɡ	Rծանծ-իկ	Regular?				
24112	ծանծուկ	noun	(bot.) Glumella.		ծանծուկ	d͡z ɑ n d͡z ú ɡ	Rծանծ-ուկ	Regular?				
24113	ծանուցագիր	noun	Note, advice, notice, notification; placard.		ծանուցագիր	d͡z ɑ n u t͡s ɑ k í ɾ	Rծան-ուց-ա+Rգիր	Regular?				
24114	ծանուցանել	verb active	To warn, to notify, to announce, to declare, to communicate, to give notice of.		ծանուցանել	d͡z ɑ n u t͡s ɑ n é l	Rծան-ուց-ան-ե-լ		Archaic			12
